datetime,	activation,	dropout,	momentum,	minibatch_size,	n_epochs,	learning_rate,	optimizer,	n_layers,	units1,	units2,	units3,	units4,	units5,	units6,	training_r2,	test_r2
2018-03-27 18:12:28,	relu,	0.793044730865,	0.775341224105,	5188,	252,	0.0127256326066,	GradientDescentOptimizer,	4,	8.213565768,	11.7137560752,	13.6246156997,	4.22617827291,	None,	None,	-0.926593414839,	-0.926593414839
2018-03-27 18:12:28,	relu,	0.790132299081,	0.777991298435,	5306,	253,	0.0131489753815,	GradientDescentOptimizer,	4,	8.1986922238,	11.744151389,	13.6946325388,	4.05575906739,	None,	None,	-0.701433903578,	-0.701433903578
2018-03-27 18:12:28,	relu,	0.789386508368,	0.773957606865,	5608,	254,	0.012513054484,	GradientDescentOptimizer,	4,	8.17743048733,	11.7605222266,	11.5826427867,	4.12529138611,	None,	None,	-0.911494550354,	-0.911494550354
2018-03-27 18:12:28,	relu,	0.801739428007,	0.77538132763,	5576,	253,	0.0124124913606,	GradientDescentOptimizer,	4,	8.06245222933,	11.7380476886,	13.6780895706,	3.95647288993,	None,	None,	-0.772390068902,	-0.772390068902
2018-03-27 18:12:28,	relu,	0.790919579077,	0.775822789145,	5360,	252,	0.0111767039638,	GradientDescentOptimizer,	4,	8.13768395268,	11.5634421005,	13.5086878976,	4.10533718542,	None,	None,	-0.523317961878,	-0.523317961878
2018-03-27 18:12:28,	relu,	0.704713099211,	0.775896919672,	5375,	252,	0.0119153716829,	GradientDescentOptimizer,	4,	7.88012592792,	11.7261559547,	13.4576427867,	4.02400935186,	None,	None,	-0.176241295359,	-0.176241295359
2018-03-27 18:12:28,	relu,	0.786348269374,	0.774908278086,	3085,	254,	0.0130803959249,	GradientDescentOptimizer,	4,	8.13696827881,	11.7492172228,	13.5418164968,	5.47444345419,	None,	None,	-0.0906918293798,	-0.0906918293798
2018-03-27 18:12:28,	relu,	0.789832350543,	0.778479816475,	5367,	257,	0.0118568054655,	GradientDescentOptimizer,	4,	8.0975972567,	10.9689159208,	10.7636488371,	4.06358891942,	None,	None,	-0.176412587774,	-0.176412587774
2018-03-27 18:12:28,	relu,	0.78943200856,	0.77664709152,	5518,	253,	0.0135059168407,	GradientDescentOptimizer,	4,	8.2160153342,	11.7361461853,	13.5021313102,	4.09831697628,	None,	None,	-0.927108486731,	-0.927108486731
2018-03-27 18:12:28,	relu,	0.786286434815,	0.779192725077,	5461,	252,	0.0115486470138,	GradientDescentOptimizer,	4,	8.06428099004,	11.6282265616,	10.6348219634,	3.95615291058,	None,	None,	-0.803707107281,	-0.803707107281
2018-03-27 18:12:28,	relu,	0.790503021592,	0.77567277932,	2890,	259,	0.0138259229177,	GradientDescentOptimizer,	4,	7.97408132749,	11.5878024919,	13.6046270671,	3.92593872087,	None,	None,	-0.856227689318,	-0.856227689318
2018-03-27 18:12:28,	relu,	0.671430332221,	0.779964969113,	5477,	253,	0.0142548740466,	GradientDescentOptimizer,	4,	8.19584787674,	11.6194068124,	13.593439843,	4.12596313777,	None,	None,	-0.737015250153,	-0.737015250153
2018-03-27 18:12:28,	relu,	0.792346970512,	0.772394380614,	4861,	253,	0.012899060431,	GradientDescentOptimizer,	4,	8.2223985302,	11.6719826258,	11.8170177867,	4.13320026265,	None,	None,	-0.432036562164,	-0.432036562164
2018-03-27 18:12:28,	relu,	0.788627774816,	0.774461675867,	5483,	252,	0.0132662501284,	GradientDescentOptimizer,	4,	8.14344466198,	11.6544682635,	13.7421256715,	4.04336096763,	None,	None,	-0.534461882143,	-0.534461882143
2018-03-27 18:12:28,	relu,	0.792559682154,	0.774671056234,	5417,	252,	0.0121124920348,	GradientDescentOptimizer,	4,	8.05770208455,	11.6039795842,	13.5171977866,	3.99264267951,	None,	None,	-0.873545200355,	-0.873545200355
2018-03-27 18:12:28,	relu,	0.782838099211,	0.785677708732,	5367,	254,	0.0121855531209,	GradientDescentOptimizer,	4,	7.98589740331,	11.7222439032,	13.5721539433,	5.70881845419,	None,	None,	-0.737410370113,	-0.737410370113
