activation, dropout, momentum, minibatch_size, n_epochs, learning_rate, optimizer, nn_structure, train_r2, test_r2
elu, None, None, 256, 10, 0.001, AdamOptimizer, 2---2, -0.573098450480336, -0.18926011655810626
elu, None, None, 256, 12, 0.001, AdamOptimizer, 2---2, -0.21305542731854987, -0.042273429266158846
elu, None, None, 256, 15, 0.001, AdamOptimizer, 2---2, -0.044834763616105944, 0.030305100238161686
elu, None, None, 256, 17, 0.001, AdamOptimizer, 2---2, 0.04568705407768758, 0.07311153924054248
elu, None, None, 256, 20, 0.001, AdamOptimizer, 2---2, 0.09452324009724633, 0.09944109737862339
elu, None, None, 256, 23, 0.001, AdamOptimizer, 2---2, 0.1257830712625443, 0.1181915492180885
elu, None, None, 256, 25, 0.001, AdamOptimizer, 2---2, 0.14916791788412664, 0.1370427647662943
elu, None, None, 256, 28, 0.001, AdamOptimizer, 2---2, 0.16687194253322157, 0.15149616460787918
elu, None, None, 256, 30, 0.001, AdamOptimizer, 2---2, 0.18190850394936675, 0.16327304938213238
elu, None, None, 256, 33, 0.001, AdamOptimizer, 2---2, 0.19342141737827645, 0.17288103170716462
elu, None, None, 256, 35, 0.001, AdamOptimizer, 2---2, 0.20402408529556693, 0.18204132120316796
elu, None, None, 256, 38, 0.001, AdamOptimizer, 2---2, 0.212751358216677, 0.18901597685625504
elu, None, None, 256, 40, 0.001, AdamOptimizer, 2---2, 0.22040981816623284, 0.19524401418201742
elu, None, None, 256, 43, 0.001, AdamOptimizer, 2---2, 0.22678154632849779, 0.20170484130012656
elu, None, None, 256, 46, 0.001, AdamOptimizer, 2---2, 0.23184235322264946, 0.20685423436746697
elu, None, None, 64, 0, 0.001, AdamOptimizer, 4---4, 0.1377245239951791, 0.08482617843073126
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---4, 0.22135204963291022, 0.1046401053214846
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---4, 0.23979740445816244, 0.11102978724789148
elu, None, None, 64, 2, 0.001, AdamOptimizer, 4---4, 0.2499408292922577, 0.10330042606503653
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---4, 0.25879529643382737, 0.11350652487038648
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---4, 0.2660942102985996, 0.10954098308960436
elu, None, None, 64, 4, 0.001, AdamOptimizer, 4---4, 0.27138972839707476, 0.10824769035394177
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---4, 0.2753817766611568, 0.09744462713224311
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---4, 0.27758212147504935, 0.09613774010371934
elu, None, None, 64, 6, 0.001, AdamOptimizer, 4---4, 0.28155747236765694, 0.09546137749897776
elu, None, None, 64, 7, 0.001, AdamOptimizer, 4---4, 0.28322057204196516, 0.09040111142930152
elu, None, None, 64, 7, 0.001, AdamOptimizer, 4---4, 0.2857109661343006, 0.099476365208778
elu, None, None, 64, 8, 0.001, AdamOptimizer, 4---4, 0.2869782683575026, 0.12181915072402005
elu, None, None, 64, 0, 0.001, AdamOptimizer, 3---3, -0.31643838072846897, -0.027114311550792136
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---3, -0.04147302575492873, 0.0852698447552721
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---3, 0.06564544404856942, 0.13677090013093218
elu, None, None, 64, 2, 0.001, AdamOptimizer, 3---3, 0.10878840156387626, 0.15461621107311707
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---3, 0.1312928952804241, 0.1607698369293299
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---3, 0.1502388817398137, 0.17896392585493293
elu, None, None, 64, 4, 0.001, AdamOptimizer, 3---3, 0.1639897557214326, 0.19060653828532814
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---3, 0.17404214885169733, 0.20516294496481413
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---3, 0.18250050536127904, 0.19924349420465415
