    number:    symbol:           name:     group:    period:     block:    series:            mass:    eleneg:  eleaffin:    covrad:    atmrad:    vdwrad:     tboil:     tmelt:   density:                     eleconfig:                     oxistates:                                                                                                                                                                           ionenergy:     ldauu:     ldauj:                                                                                                                                                               ldaucomment:
        18:      'Ar':        'Argon':        18:         3:       'p':         2:          39.948:       0.0:       0.0:      0.98:      0.88:      1.88:     87.45:     83.95:      1.66:                '[Ne] 3s2 3p6':                           '*':                               (15.7596, 27.629, 40.74, 59.81, 75.02, 91.007, 124.319, 143.456, 422.44, 478.68, 538.95, 618.24, 686.09, 755.73, 854.75, 918.0, 4120.778, 4426.114, ):         0:         0:                                                                                                                                                                 'No data'
        19:       'K':    'Potassium':         1:         4:       's':         3:         39.0983:      0.82:  0.501459:      2.03:      2.77:      2.75:    1033.0:     336.8:      0.86:                     '[Ar] 4s':                          '1*':                          (4.3407, 31.625, 45.72, 60.91, 82.66, 100.0, 117.56, 154.86, 175.814, 503.44, 564.13, 629.09, 714.02, 787.13, 861.77, 968.0, 1034.0, 4610.955, 4933.931, ):         0:         0:                                                                                                                                                                 'No data'
        20:      'Ca':      'Calcium':         2:         4:       's':         4:          40.078:       1.0:   0.02455:      1.74:      2.23:       0.0:    1757.0:    1112.0:      1.54:                    '[Ar] 4s2':                          '2*':                    (6.1132, 11.71, 50.908, 67.1, 84.41, 108.78, 127.7, 147.24, 188.54, 211.27, 591.25, 656.39, 726.03, 816.61, 895.12, 974.0, 1087.0, 1157.0, 5129.045, 5469.738, ):         0:         0:                                                                                                                                                                 'No data'
        21:      'Sc':     'Scandium':         3:         4:       'd':         8:        44.95591:      1.36:     0.188:      1.44:      2.09:       0.0:    3109.0:    1814.0:      2.99:                 '[Ar] 3d 4s2':                          '3*':                                                                    (6.5615, 12.8, 24.76, 73.47, 91.66, 11.1, 138.0, 158.7, 180.02, 225.32, 225.32, 685.89, 755.47, 829.79, 926.0, ):         2:         0:                                                                                                                    '2,j.scc.2012.01.051; 2.5, est Corrected Atomic Limit'
        22:      'Ti':     'Titanium':         4:         4:       'd':         8:          47.867:      1.54:     0.084:      1.32:       2.0:       0.0:    3560.0:    1935.0:      4.51:                '[Ar] 3d2 4s2':                       '4*, 3':                                                               (6.8281, 13.58, 27.491, 43.266, 99.22, 119.36, 140.8, 168.5, 193.5, 193.2, 215.91, 265.23, 291.497, 787.33, 861.33, ):         2:         0:                                                                                                                                          '2,j.scc.2012.01.051; 2.5, eCAL'
        23:       'V':     'Vanadium':         5:         4:       'd':         8:         50.9415:      1.63:     0.525:      1.22:      1.92:       0.0:    3650.0:    2163.0:      6.09:                '[Ar] 3d3 4s2':              '5*, 4, 3, 2, 0':                                                               (6.7462, 14.65, 29.31, 46.707, 65.23, 128.12, 150.17, 173.7, 205.8, 230.5, 255.04, 308.25, 336.267, 895.58, 974.02, ):         3:         0:                                                                                                                                  '3, j.jallcom.2013.10.043; 4.1 0.7 eCAL'
        24:      'Cr':     'Chromium':         6:         4:       'd':         8:         51.9961:      1.66:   0.67584:      1.18:      1.85:       0.0:    2945.0:    2130.0:      7.14:                 '[Ar] 3d5 4s':                 '6, 3*, 2, 0':                                                                         (6.7665, 16.5, 30.96, 49.1, 69.3, 90.56, 161.1, 184.7, 209.3, 244.4, 270.8, 298.0, 355.0, 384.3, 1010.64, ):         3:         0:                                                                                                             '3,j.scc.2012.01.051; 4.3 0.8 eCAL; 4, j.jallcom.2013.10.043'
        25:      'Mn':    'Manganese':         7:         4:       'd':         8:       54.938049:      1.55:       0.0:      1.17:      1.79:       0.0:    2235.0:    1518.0:      7.44:                '[Ar] 3d5 4s2':       '7, 6, 4, 3, 2*, 0, -1':                                                                 (7.434, 15.64, 33.667, 51.2, 72.4, 95.0, 119.27, 196.46, 221.8, 248.3, 286.0, 314.4, 343.6, 404.0, 435.3, 1136.2, ):         5:         0:                                                                                                                                       '5,j.scc.2012.01.051; 4.6 0.8 eCAL'
        26:      'Fe':         'Iron':         8:         4:       'd':         8:          55.845:      1.83:     0.151:      1.17:      1.72:       0.0:    3023.0:    1808.0:     7.874:                '[Ar] 3d6 4s2':             '6, 3*, 2, 0, -2':                                                         (7.9024, 16.18, 30.651, 54.8, 75.0, 99.0, 125.0, 151.06, 235.04, 262.1, 290.4, 330.8, 361.0, 392.2, 457.0, 485.5, 1266.1, ):         5:         0:                                                                                                                                       '5,j.scc.2012.01.051; 4.8 0.8 eCAL'
        27:      'Co':       'Cobalt':         9:         4:       'd':         8:         58.9332:      1.88:    0.6633:      1.16:      1.67:       0.0:    3143.0:    1768.0:      8.89:                '[Ar] 3d7 4s2':                '3, 2*, 0, -1':                                                     (7.881, 17.06, 33.5, 51.3, 79.5, 102.0, 129.0, 157.0, 186.13, 276.0, 305.0, 336.0, 376.0, 411.0, 444.0, 512.0, 546.8, 1403.0, ):         6:         0:                        'My exhaustion run, probably wrong; 6,j.scc.2012.01.051; 5.2 eCAL/MS; 2, j.jmmm.2013.04.023; 6, j.jallcom.2013.10.043; 6, j.commatsci.2014.05.013'
        28:      'Ni':       'Nickel':        10:         4:       'd':         8:         58.6934:      1.91:   1.15716:      1.15:      1.62:      1.63:    3005.0:    1726.0:      8.91:                '[Ar] 3d8 4s2':                    '3, 2*, 0':                                            (7.6398, 18.168, 35.17, 54.9, 75.5, 108.0, 133.0, 162.0, 193.0, 224.5, 321.2, 352.0, 384.0, 430.0, 464.0, 499.0, 571.0, 607.2, 1547.0, ):         5:         0:                                                                                                          '6, j.scc.2012.01.051; 5.4 0.9 eCAL; 5, j.commatsci.2014.05.013'
        29:      'Cu':       'Copper':        11:         4:       'd':         8:          63.546:       1.9:   1.23578:      1.17:      1.57:       1.4:    2840.0:    1356.6:      8.92:                '[Ar] 3d10 4s':                       '2*, 1':                                     (7.7264, 20.292, 26.83, 55.2, 79.9, 103.0, 139.0, 166.0, 199.0, 232.0, 266.0, 368.8, 401.0, 435.0, 484.0, 520.0, 557.0, 633.0, 671.0, 1698.0, ):         7:         0:                                                                                                                                'ExhaustWrong; 7, j.commatsci.2014.05.013'
        30:      'Zn':         'Zinc':        12:         4:       'd':         8:          65.409:      1.65:       0.0:      1.25:      1.53:      1.39:    1180.0:    692.73:      7.14:               '[Ar] 3d10 4s2':                          '2*':                             (9.3942, 17.964, 39.722, 59.4, 82.6, 108.0, 134.0, 174.0, 203.0, 238.0, 274.0, 310.8, 419.7, 454.0, 490.0, 542.0, 579.0, 619.0, 698.8, 738.0, 1856.0, ):         7:         0:                                                                                                                                 '7,j.scc.2012.01.051, j.jmmm.2013.04.023'
        31:      'Ga':      'Gallium':        13:         4:       'p':         7:          69.723:      1.81:      0.41:      1.26:      1.81:      1.87:    2478.0:    302.92:      5.91:            '[Ar] 3d10 4s2 4p':                          '3*':                                                                                                                                                      (5.9993, 20.51, 30.71, 64.0, ):         0:         0:                                                                                                                                                                 'No data'
        32:      'Ge':    'Germanium':        14:         4:       'p':         5:           72.64:      2.01:  1.232712:      1.22:      1.52:       0.0:    3107.0:    1211.5:      5.32:           '[Ar] 3d10 4s2 4p2':                          '4*':                                                                                                                                              (7.8994, 15.934, 34.22, 45.71, 93.5, ):         0:         0:                                                                                                                                                                 'No data'
        33:      'As':      'Arsenic':        15:         4:       'p':         5:         74.9216:      2.18:     0.814:       1.2:      1.33:      1.85:     876.0:    1090.0:      5.72:           '[Ar] 3d10 4s2 4p3':                   '5, 3*, -3':                                                                                                                                     (9.7886, 18.633, 28.351, 50.13, 62.63, 127.6, ):         0:         0:                                                                                                                                                                 'No data'
        34:      'Se':     'Selenium':        16:         4:       'p':         1:           78.96:      2.55:   2.02067:      1.16:      1.22:       1.9:     958.0:     494.0:      4.82:           '[Ar] 3d10 4s2 4p4':                   '6, 4*, -2':                                                                                                                                  (9.7524, 21.9, 30.82, 42.944, 68.3, 81.7, 155.4, ):         0:         0:                                                                                                                                                                 'No data'
        35:      'Br':      'Bromine':        17:         4:       'p':         6:          79.904:      2.96:  3.363588:      1.14:      1.12:      1.85:    331.85:    265.95:      3.14:           '[Ar] 3d10 4s2 4p5':             '7, 5, 3, 1, -1*':                                                                                                                             (11.8138, 21.8, 36.0, 47.3, 59.7, 88.6, 103.0, 192.8, ):         0:         0:                                                                                                                                                                 'No data'
        36:      'Kr':      'Krypton':        18:         4:       'p':         2:          83.798:       0.0:       0.0:      1.12:      1.03:      2.02:    120.85:     116.0:      4.48:           '[Ar] 3d10 4s2 4p6':                          '2*':                                                                                                                  (13.9996, 24.359, 36.95, 52.5, 64.7, 78.5, 110.0, 126.0, 230.39, ):         0:         0:                                                                                                                                                                 'No data'
        37:      'Rb':     'Rubidium':         1:         5:       's':         3:         85.4678:      0.82:  0.485916:      2.16:      2.98:       0.0:     961.0:    312.63:      1.53:                     '[Kr] 5s':                          '1*':                                                                                                                (4.1771, 27.28, 40.0, 52.6, 71.0, 84.4, 99.2, 136.0, 150.0, 277.1, ):         0:         0:                                                                                                                                                                 'No data'
        38:      'Sr':    'Strontium':         2:         5:       's':         4:           87.62:      0.95:   0.05206:      1.91:      2.45:       0.0:    1655.0:    1042.0:      2.63:                    '[Kr] 5s2':                          '2*':                                                                                                        (5.6949, 11.03, 43.6, 57.0, 71.6, 90.8, 106.0, 122.3, 162.0, 177.0, 324.1, ):         0:         0:                                                                                                                                                                 'No data'
        39:       'Y':      'Yttrium':         3:         5:       'd':         8:        88.90585:      1.22:     0.307:      1.62:      2.27:       0.0:    3611.0:    1795.0:      4.47:                 '[Kr] 4d 5s2':                          '3*':                                                                                               (6.2173, 12.24, 20.52, 61.8, 77.0, 93.0, 116.0, 129.0, 146.52, 191.0, 206.0, 374.0, ):         2:         0:                                                                                                                                                '2, j.jallcom.2013.10.043'
