    number:    symbol:           name:     group:    period:     block:    series:            mass:    eleneg:  eleaffin:    covrad:    atmrad:    vdwrad:     tboil:     tmelt:   density:                     eleconfig:                     oxistates:                                                                                                                                                                           ionenergy:     ldauu:     ldauj:                                                                                                                                                               ldaucomment:
        70:      'Yb':    'Ytterbium':         3:         6:       'f':         9:          173.04:       1.1:       0.5:      1.74:       2.4:       0.0:    1469.0:    1092.0:      9.32:               '[Xe] 4f14 6s2':                       '3*, 2':                                                                                                                                                             (6.2542, 12.17, 25.2, ):         0:         0:                                                                                                                                                                 'No data'
        71:      'Lu':     'Lutetium':         3:         6:       'd':         9:         174.967:      1.27:       0.5:      1.56:      2.25:       0.0:    3668.0:    1936.0:      9.84:            '[Xe] 4f14 5d 6s2':                          '3*':                                                                                                                                                                    (5.4259, 13.9, ):         0:         0:                                                                                                                                                                 'No data'
        72:      'Hf':      'Hafnium':         4:         6:       'd':         8:          178.49:       1.3:       0.0:      1.44:      2.16:       0.0:    4875.0:    2504.0:     13.31:           '[Xe] 4f14 5d2 6s2':                          '4*':                                                                                                                                                        (6.8251, 14.9, 23.3, 33.3, ):         2:         0:                                                                                                                                   'ExhaustWrong;2, j.jallcom.2013.10.043'
        73:      'Ta':     'Tantalum':         5:         6:       'd':         8:        180.9479:       1.5:     0.322:      1.34:      2.09:       0.0:    5730.0:    3293.0:     16.68:           '[Xe] 4f14 5d3 6s2':                          '5*':                                                                                                                                                                          (7.5496, ):       2.4:       0.5:                                                                                                                                                            '2.4 0.5 eCAL'
        74:       'W':     'Tungsten':         6:         6:       'd':         8:          183.84:      2.36:     0.815:       1.3:      2.02:       0.0:    5825.0:    3695.0:     19.26:           '[Xe] 4f14 5d4 6s2':           '6*, 5, 4, 3, 2, 0':                                                                                                                                                                           (7.864, ):       2.5:         0:                                                                                                                                            '2.5, j.commatsci.2014.05.013'
        75:      'Re':      'Rhenium':         7:         6:       'd':         8:         186.207:       1.9:      0.15:      1.28:      1.97:       0.0:    5870.0:    3455.0:     21.03:           '[Xe] 4f14 5d5 6s2':              '7, 6, 4, 2, -1':                                                                                                                                                                          (7.8335, ):         2:         0:                                                                                                         '2, j.jmmm.2013.04.023; 2.7 0.5 eCAL; 2, j.commatsci.2014.05.013'
        76:      'Os':       'Osmium':         8:         6:       'd':         8:          190.23:       2.2:    1.0778:      1.26:      1.92:       0.0:    5300.0:    3300.0:     22.61:           '[Xe] 4f14 5d6 6s2':       '8, 6, 4*, 3, 2, 0, -2':                                                                                                                                                                          (8.4382, ):         2:         0:                                                                                                                 '6, j.jmmm.2013.04.023; 2, eCAL; 3 1 EPL 80 3 2007 37008'
        77:      'Ir':      'Iridium':         9:         6:       'd':         8:         192.217:       2.2:   1.56436:      1.27:      1.87:       0.0:    4700.0:    2720.0:     22.65:           '[Xe] 4f14 5d7 6s2':      '6, 4*, 3, 2, 1*, 0, -1':                                                                                                                                                                           (8.967, ):         3:       0.5:                                                                                                                                                         '2.5 OXF-Project'
        78:      'Pt':     'Platinum':        10:         6:       'd':         8:         195.078:      2.28:    2.1251:       1.3:      1.83:      1.75:    4100.0:    2042.1:     21.45:            '[Xe] 4f14 5d9 6s':                   '4*, 2*, 0':                                                                                                                                                                  (8.9588, 18.563, ):       2.9:       0.5:                                                                                                                 '2.9 0.5 Physical Review B Vol50,No23,1994; 3.1 0.5 eCAL'
        79:      'Au':         'Gold':        11:         6:       'd':         8:       196.96655:      2.54:   2.30861:      1.34:      1.79:      1.66:    3130.0:   1337.58:     19.32:           '[Xe] 4f14 5d10 6s':                       '3*, 1':                                                                                                                                                                    (9.2255, 20.5, ):         3:         0:                                                                                                                                                   '3, j.jmmm.2013.04.023'
        80:      'Hg':      'Mercury':        12:         6:       'd':         8:          200.59:       2.0:       0.0:      1.49:      1.76:       0.0:    629.88:    234.31:     13.55:          '[Xe] 4f14 5d10 6s2':                       '2*, 1':                                                                                                                                                           (10.4375, 18.756, 34.2, ):         0:         0:                                                                                                                                                                 'No data'
        81:      'Tl':     'Thallium':        13:         6:       'p':         7:        204.3833:      2.04:     0.377:      1.48:      2.08:      1.96:    1746.0:     577.0:     11.85:       '[Xe] 4f14 5d10 6s2 6p':                       '3, 1*':                                                                                                                                                           (6.1082, 20.428, 29.83, ):         0:         0:                                                                                                                                                                 'No data'
        82:      'Pb':         'Lead':        14:         6:       'p':         7:           207.2:      2.33:     0.364:      1.47:      1.81:      2.02:    2023.0:    600.65:     11.34:      '[Xe] 4f14 5d10 6s2 6p2':                       '4, 2*':                                                                                                                                             (7.4167, 15.032, 31.937, 42.32, 68.8, ):         0:         0:                                                                                                                                                                 'No data'
        83:      'Bi':      'Bismuth':        15:         6:       'p':         7:       208.98038:      2.02:  0.942363:      1.46:      1.63:       0.0:    1837.0:    544.59:       9.8:      '[Xe] 4f14 5d10 6s2 6p3':                       '5, 3*':                                                                                                                                          (7.2855, 16.69, 25.56, 45.3, 56.0, 88.3, ):         0:         0:                                                                                                                                                                 'No data'
        84:      'Po':     'Polonium':        16:         6:       'p':         5:      208.982416:       2.0:       1.9:      1.46:      1.53:       0.0:       0.0:     527.0:       9.2:      '[Xe] 4f14 5d10 6s2 6p4':                    '6, 4*, 2':                                                                                                                                                                           (8.414, ):         0:         0:                                                                                                                                                                 'No data'
        85:      'At':     'Astatine':        17:         6:       'p':         6:        209.9871:       2.2:       2.8:      1.45:      1.43:       0.0:     610.0:     575.0:       0.0:      '[Xe] 4f14 5d10 6s2 6p5':             '7, 5, 3, 1, -1*':                                                                                                                                                                                  ():         0:         0:                                                                                                                                                                 'No data'
        86:      'Rn':        'Radon':        18:         6:       'p':         2:        222.0176:       0.0:       0.0:       0.0:      1.34:       0.0:     211.4:     202.0:      9.23:      '[Xe] 4f14 5d10 6s2 6p6':                          '2*':                                                                                                                                                                         (10.7485, ):         0:         0:                                                                                                                                                                 'No data'
        87:      'Fr':     'Francium':         1:         7:       's':         3:     223.0197307:       0.7:       0.0:       0.0:       0.0:       0.0:     950.0:     300.0:       0.0:                     '[Rn] 7s':                          '1*':                                                                                                                                                                          (4.0727, ):         0:         0:                                                                                                                                                                 'No data'
        88:      'Ra':       'Radium':         2:         7:       's':         4:      226.025403:       0.9:       0.0:       0.0:       0.0:       0.0:    1413.0:     973.0:       5.5:                    '[Rn] 7s2':                          '2*':                                                                                                                                                                  (5.2784, 10.147, ):         0:         0:                                                                                                                                                                 'No data'
        89:      'Ac':     'Actinium':         3:         7:       'f':        10:      227.027747:       1.1:       0.0:       0.0:       0.0:       0.0:    3470.0:    1324.0:     10.07:                 '[Rn] 6d 7s2':                          '3*':                                                                                                                                                                      (5.17, 12.1, ):         0:         0:                                                                                                                                                                 'No data'
        90:      'Th':      'Thorium':         3:         7:       'f':        10:        232.0381:       1.3:       0.0:      1.65:       0.0:       0.0:    5060.0:    2028.0:     11.72:                '[Rn] 6d2 7s2':                          '4*':                                                                                                                                                        (6.3067, 11.5, 20.0, 28.8, ):         0:         0:                                                                                                                                                                 'No data'
        91:      'Pa': 'Protactinium':         3:         7:       'f':        10:       231.03588:       1.5:       0.0:       0.0:       0.0:       0.0:    4300.0:    1845.0:     15.37:             '[Rn] 5f2 6d 7s2':                       '5*, 4':                                                                                                                                                                            (5.89, ):         0:         0:                                                                                                                                                                 'No data'
        92:       'U':      'Uranium':         3:         7:       'f':        10:       238.02891:      1.38:       0.0:      1.42:       0.0:      1.86:    4407.0:    1408.0:     18.97:             '[Rn] 5f3 6d 7s2':                 '6*, 5, 4, 3':                                                                                                                                                                          (6.1941, ):         0:         0:                                                                                                                                                                 'No data'
        93:      'Np':    'Neptunium':         3:         7:       'f':        10:      237.048167:      1.36:       0.0:       0.0:       0.0:       0.0:    4175.0:     912.0:     20.48:             '[Rn] 5f4 6d 7s2':                 '6, 5*, 4, 3':                                                                                                                                                                          (6.2657, ):         0:         0:                                                                                                                                                                 'No data'
        94:      'Pu':    'Plutonium':         3:         7:       'f':        10:      244.064198:      1.28:       0.0:       0.0:       0.0:       0.0:    3505.0:     913.0:     19.74:                '[Rn] 5f6 7s2':                 '6, 5, 4*, 3':                                                                                                                                                                           (6.026, ):         0:         0:                                                                                                                                                                 'No data'
        95:      'Am':    'Americium':         3:         7:       'f':        10:      243.061373:       1.3:       0.0:       0.0:       0.0:       0.0:    2880.0:    1449.0:     13.67:                '[Rn] 5f7 7s2':                 '6, 5, 4, 3*':                                                                                                                                                                          (5.9738, ):         0:         0:                                                                                                                                                                 'No data'
        96:      'Cm':       'Curium':         3:         7:       'f':        10:      247.070347:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1620.0:     13.51:             '[Rn] 5f7 6d 7s2':                       '4, 3*':                                                                                                                                                                          (5.9914, ):         0:         0:                                                                                                                                                                 'No data'
        97:      'Bk':    'Berkelium':         3:         7:       'f':        10:      247.070299:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1258.0:     13.25:                '[Rn] 5f9 7s2':                       '4, 3*':                                                                                                                                                                          (6.1979, ):         0:         0:                                                                                                                                                                 'No data'
        98:      'Cf':  'Californium':         3:         7:       'f':        10:       251.07958:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1172.0:      15.1:               '[Rn] 5f10 7s2':                       '4, 3*':                                                                                                                                                                          (6.2817, ):         0:         0:                                                                                                                                                                 'No data'
        99:      'Es':  'Einsteinium':         3:         7:       'f':        10:       252.08297:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1130.0:       0.0:               '[Rn] 5f11 7s2':                          '3*':                                                                                                                                                                            (6.42, ):         0:         0:                                                                                                                                                                 'No data'
       100:      'Fm':      'Fermium':         3:         7:       'f':        10:      257.095099:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1800.0:       0.0:               '[Rn] 5f12 7s2':                          '3*':                                                                                                                                                                             (6.5, ):         0:         0:                                                                                                                                                                 'No data'
       101:      'Md':  'Mendelevium':         3:         7:       'f':        10:      258.098425:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1100.0:       0.0:               '[Rn] 5f13 7s2':                          '3*':                                                                                                                                                                            (6.58, ):         0:         0:                                                                                                                                                                 'No data'
       102:      'No':     'Nobelium':         3:         7:       'f':        10:       259.10102:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1100.0:       0.0:               '[Rn] 5f14 7s2':                       '3, 2*':                                                                                                                                                                            (6.65, ):         0:         0:                                                                                                                                                                 'No data'
       103:      'Lr':   'Lawrencium':         3:         7:       'd':        10:       262.10969:       1.3:       0.0:       0.0:       0.0:       0.0:       0.0:    1900.0:       0.0:            '[Rn] 5f14 6d 7s2':                          '3*':                                                                                                                                                                             (4.9, ):         0:         0:                                                                                                                                                                 'No data'
       104:      'Rf':'Rutherfordium':         4:         7:       'd':         8:       261.10875:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:           '[Rn] 5f14 6d2 7s2':                           '*':                                                                                                                                                                             (6.0, ):         0:         0:                                                                                                                                                                 'No data'
       105:      'Db':      'Dubnium':         5:         7:       'd':         8:       262.11415:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:           '[Rn] 5f14 6d3 7s2':                           '*':                                                                                                                                                                                  ():         0:         0:                                                                                                                                                                 'No data'
       106:      'Sg':   'Seaborgium':         6:         7:       'd':         8:       266.12193:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:           '[Rn] 5f14 6d4 7s2':                           '*':                                                                                                                                                                                  ():         0:         0:                                                                                                                                                                 'No data'
       107:      'Bh':      'Bohrium':         7:         7:       'd':         8:       264.12473:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:           '[Rn] 5f14 6d5 7s2':                           '*':                                                                                                                                                                                  ():         0:         0:                                                                                                                                                                 'No data'
       108:      'Hs':      'Hassium':         8:         7:       'd':         8:       269.13411:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:           '[Rn] 5f14 6d6 7s2':                           '*':                                                                                                                                                                                  ():         0:         0:                                                                                                                                                                 'No data'
       109:      'Mt':   'Meitnerium':         9:         7:       'd':         8:       268.13882:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:       0.0:           '[Rn] 5f14 6d7 7s2':                           '*':                                                                                                                                                                                  ():         0:         0:                                                                                                                                                                 'No data'
